unified_id,stellar_id,disposition,orbital_period_days,transit_duration_hr,transit_depth_ppm,planet_radius_rearth,equilibrium_temp_k,insolation_flux_earth,stellar_teff_k,stellar_radius_rsun,stellar_logg_cgs,magnitude,mission
2018.01,357501308,CONFIRMED,7.4355709,2.3450321,1310.6803156,2.2761564,576.3403106,26.0757607,4218.9,0.622512,4.67,8.962,TESS
2019.01,159781361,CONFIRMED,15.3468182,6.425,665.0,3.99579,933.0,126.052,5588.0,1.8,3.92293,9.6087,TESS
202.01,355509914,CANDIDATE,1.7386695,1.1898354,13710.7615026,9.455763,1153.8594476,418.9214934,4746.0,0.820258,4.52746,14.6723,TESS
2020.01,39903405,CONFIRMED,5.633477,4.132,5651.0,13.2583,1372.0,588.518,6412.8,1.7,4.09,8.27468,TESS
2021.01,236312126,CONFIRMED,3.9415041,2.866,21330.0,13.8352,1179.0,321.85,5729.0,0.92,4.52,10.5484,TESS
2022.01,11996814,FALSE_POSITIVE,0.4487349,2.8757897,3572.0328032,5.8054498,1408.021727,928.877466,3975.0,0.627144,4.62844,11.6484,TESS
2023.01,16884216,CANDIDATE,11.1900486,2.9741507,567.7989939,1.6608182,602.7435196,31.192573,4958.0,0.695992,4.66667,8.5049,TESS
2024.01,255930614,CONFIRMED,2.8758831,3.14,3152.0,8.33267,1602.0,1095.91,6084.0,1.46,4.17,7.6262,TESS
2025.01,394050135,CONFIRMED,8.8720542,3.6593396,6144.296801,11.9849813,1098.1716895,343.7177625,6042.0,1.47996,4.15,10.9461,TESS
2026.01,407059875,CANDIDATE,7.1925327,2.551,1180.0,2.5719,821.0,75.7071,5050.0,0.77,4.59,10.5782,TESS
2027.01,335996558,FALSE_POSITIVE,1.46329,2.431,750.0,3.54656,2149.0,3541.21,6168.0,1.28,4.29,10.5027,TESS
2028.01,336456596,FALSE_POSITIVE,0.77871,1.458,670.0,6.16036,2789.0,10057.7,7751.0,2.25,4.0,10.9141,TESS
2029.01,445254275,FALSE_POSITIVE,2.57134,3.824,920.0,10.7406,2382.0,5344.87,7125.0,3.56,3.54,10.9415,TESS
203.01,259962054,FALSE_POSITIVE,51.94509,8.094,2534.0,0.705818,402.0,4.34593,3203.0,0.23,5.01682,12.2423,TESS
2030.01,422656370,CANDIDATE,1.3254567,0.975,3365.0,14.4076,1470.0,776.933,5778.0,2.29,3.74,10.8489,TESS
2031.01,470127886,CANDIDATE,5.7156075,4.0584797,12240.9298817,13.6015651,1207.9176608,503.1185454,6664.0,1.18444,4.44,10.7609,TESS
2032.01,470159478,CANDIDATE,17.0096703,2.228,4730.0,13.5294,,63.3708,6542.0,1.5,,10.9293,TESS
2033.01,53617134,CANDIDATE,18.8243063,4.397,1915.0,8.51397,860.0,90.9855,7014.0,1.95,4.05,9.46221,TESS
2034.01,427279997,FALSE_POSITIVE,2.89453,3.327,550.0,6.20845,2743.0,9411.16,9714.0,2.68,3.98,10.5682,TESS
2035.01,53709089,CANDIDATE,8.51226,3.068,620.0,5.90105,,872.772,9387.0,2.35,,9.1196,TESS
2036.01,368320811,CANDIDATE,1.261045,1.246,384.0,4.24615,1807.0,1770.66,6549.0,2.18,3.89,8.97913,TESS
2037.01,405559035,CANDIDATE,11.1516668,4.623,580.0,2.91771,1056.0,206.982,6319.0,1.19,4.38,10.67,TESS
2037.02,405559035,CANDIDATE,5.5470937,3.4350999,550.6948044,2.8717764,1183.747051,464.0413077,6319.0,1.1913199,4.38,10.67,TESS
2038.01,235937532,CANDIDATE,3.7321195,5.738,4180.0,19.158,2421.0,5711.67,6570.0,2.8,3.68,10.5352,TESS
2039.01,237071229,CANDIDATE,11.2479927,3.142,1277.0,4.96692,895.0,106.719,6308.0,1.48,4.19,10.4719,TESS
204.01,281781375,CANDIDATE,43.8297863,4.3011392,647.2685163,2.8243863,507.3369958,15.6569489,5605.0,1.03654,4.39973,9.2182,TESS
2040.01,427730490,CANDIDATE,3.8608551,2.571,14670.0,11.2224,995.0,163.361,5019.0,0.92,4.43,10.8407,TESS
2041.01,54364414,FALSE_POSITIVE,1.37477,1.601,960.0,3.0101,1612.0,1122.82,5825.0,1.02,4.44,10.4608,TESS
2042.01,269424395,FALSE_POSITIVE,2.41872,2.685,1160.0,7.23529,1778.0,1660.52,6535.0,2.16,3.9,10.9518,TESS
2043.01,346929661,CANDIDATE,12.0135752,4.274,1171.0,3.7307,964.0,143.432,6178.0,1.23,4.33,10.1976,TESS
2044.01,270333769,FALSE_POSITIVE,4.1207509,2.158,973.0,7.46471,1963.0,2466.19,9953.0,2.38,4.09,10.4887,TESS
2045.01,347013211,CANDIDATE,9.07763,5.928,5912.0,12.6842,1236.0,388.441,6125.9,1.72,4.03,10.7799,TESS
2046.01,468574941,CONFIRMED,1.4971447,2.4024159,16266.2491958,16.2528494,1828.8199186,2643.654975,6081.0,1.2431901,4.31,10.996,TESS
2047.01,363761216,FALSE_POSITIVE,7.4072602,3.019,14765.0,14.7857,1116.0,258.039,5887.0,1.14,4.35,10.4708,TESS
2048.01,159873822,CONFIRMED,13.7905315,3.301,1140.0,2.60168,646.0,29.035,5021.6,0.76,4.6,10.7545,TESS
2049.01,314835525,CANDIDATE,5.30329,3.707,1200.0,11.7443,1299.0,473.142,6054.7,3.48,3.41,10.6568,TESS
205.01,281575427,CANDIDATE,4.2529842,3.138,283.0,2.26991,1399.0,636.914,6222.5,1.45,4.06,9.4525,TESS
2050.01,316468545,CANDIDATE,13.5970194,2.781,604.0,2.03572,708.0,41.8338,5985.0,0.88,4.59,9.70362,TESS
2051.01,375850439,CANDIDATE,1.1633325,1.7800569,384.9566815,5.5717234,4559.9324771,102177.3532273,11265.0,2.61707,4.07,10.6234,TESS
2052.01,1100766816,FALSE_POSITIVE,1.62263,1.555,1630.0,4.33692,1439.0,713.443,5016.1,1.01,,10.0943,TESS
2053.01,315755496,FALSE_POSITIVE,4.27808,1.9576205,1096.6013542,17.8096125,1222.901639,528.551257,4772.0,5.2787499,,10.5008,TESS
2054.01,378355116,FALSE_POSITIVE,3.5684459,2.934,939.0,5.87762,1928.0,2297.53,8124.0,2.08,,10.7633,TESS
2055.01,322062001,CANDIDATE,4.6981739,2.36,7417.0,31.434,,1344.6,6782.0,1.61,,10.6526,TESS
2056.01,396356111,CANDIDATE,10.2207,3.848,300.0,2.95608,1081.0,226.74,6748.7,1.72,4.13,7.3307,TESS
2057.01,229888286,CANDIDATE,5.5986337,5.3892498,2541.1751726,9.9822897,1195.2228223,482.2991657,6081.3,1.83732,,10.7165,TESS
2058.01,326732851,FALSE_POSITIVE,1.51567,2.281,750.0,14.18,1605.0,1102.82,4963.0,4.96,,10.5365,TESS
2059.01,403308915,FALSE_POSITIVE,3.7543552,1.878,470.0,4.6716,1539.0,931.407,8398.0,1.75,4.27,10.1731,TESS
206.01,55650590,CONFIRMED,0.7363132,0.6736853,1322.5461054,1.5332682,840.1706554,117.7581671,3358.0,0.351676,4.438,12.4312,TESS
2060.01,285542903,FALSE_POSITIVE,2.2657506,3.419,388.0,8.00485,3256.0,18671.1,10125.0,4.14,3.62,9.8722,TESS
2061.01,327577308,FALSE_POSITIVE,1.45655,1.51,580.0,1.83776,1273.0,436.167,4475.0,0.7,4.59,10.636,TESS
2062.01,373785851,FALSE_POSITIVE,4.04163,1.719,3100.0,13.1608,1163.0,304.098,6895.0,2.36,3.87,10.155,TESS
2063.01,334811204,CANDIDATE,21.07626,2.124,1890.0,11.6504,660.0,31.6166,7577.0,2.46,3.9,10.3499,TESS
